cityid,cityname,confirmed,suspected,dead,cured,close_contact,time
129,深圳,36,0,0,2,0,2020/1/26
129,深圳,49,0,0,3,0,2020/1/27
129,深圳,63,0,0,4,0,2020/1/28
129,深圳,86,0,0,4,291,2020/1/29
129,深圳,110,0,0,4,325,2020/1/30
129,深圳,170,0,0,4,327,2020/1/31
129,深圳,196,0,0,5,569,2020/2/1
129,深圳,226,0,0,5,662,2020/2/2
129,深圳,269,0,0,10,904,2020/2/3
129,深圳,289,0,0,13,878,2020/2/4
129,深圳,314,0,0,16,947,2020/2/5
129,深圳,334,0,0,22,958,2020/2/6
129,深圳,351,0,0,31,1045,2020/2/7
129,深圳,364,0,0,31,1153,2020/2/8
