province,city,accumulated_confirmed,accumulated_suspected,accumulated_death,accumulated_recovered,time
浙江,宁波,20,0,0,0,2020/01/29
浙江,宁波,41,0,0,0,2020/01/30
浙江,宁波,46,0,0,1,2020/01/31
浙江,宁波,55,0,0,1,2020/02/01
浙江,宁波,66,0,0,1,2020/02/02
浙江,宁波,75,0,0,1,2020/02/03
浙江,宁波,102,0,0,4,2020/02/04
浙江,宁波,120,0,0,4,2020/02/05
浙江,宁波,126,0,0,6,2020/02/06
浙江,台州,21,0,0,0,2020/01/26
浙江,台州,22,0,0,0,2020/01/27
浙江,台州,22,0,0,0,2020/01/28
浙江,台州,40,0,0,0,2020/01/29
浙江,台州,64,0,0,0,2020/01/30
浙江,台州,81,0,0,1,2020/01/31
浙江,台州,95,0,0,4,2020/02/01
浙江,台州,100,0,0,7,2020/02/02
浙江,台州,109,0,0,11,2020/02/03
浙江,台州,115,0,0,11,2020/02/04
浙江,台州,122,0,0,14,2020/02/05
浙江,台州,124,0,0,14,2020/02/06
浙江,金华,3,0,0,0,2020/01/26
浙江,金华,5,0,0,0,2020/01/27
浙江,金华,7,0,0,0,2020/01/28
浙江,金华,13,0,0,0,2020/01/29
浙江,金华,20,0,0,0,2020/01/30
浙江,金华,27,0,0,3,2020/01/31
浙江,金华,34,0,0,3,2020/02/01
浙江,金华,34,0,0,4,2020/02/02
浙江,金华,36,0,0,6,2020/02/03
浙江,金华,40,0,0,6,2020/02/04
浙江,金华,44,0,0,8,2020/02/05
浙江,金华,47,0,0,8,2020/02/06
浙江,绍兴,5,0,0,0,2020/01/26
浙江,绍兴,6,0,0,0,2020/01/27
浙江,绍兴,7,0,0,0,2020/01/28
浙江,绍兴,19,0,0,0,2020/01/29
浙江,绍兴,19,0,0,0,2020/01/30
浙江,绍兴,23,0,0,0,2020/01/31
浙江,绍兴,24,0,0,0,2020/02/01
浙江,绍兴,27,0,0,1,2020/02/02
浙江,绍兴,30,0,0,2,2020/02/03
浙江,绍兴,30,0,0,3,2020/02/04
浙江,绍兴,30,0,0,3,2020/02/05
