time,city,new_confirmed,new_death,new_recovered,accumulated_confirmed,accumulated_death,accumulated_recovered,new_suspected,accumulated_suspected,accumulated_close_contact,accumulated_quit_medical_observation,under_medical_observation
2020-02-03,全省,74,0,2,,,,62,,,,
2020-02-04,全省,81,0,4,,,,42,,,,
2020-02-05,全省,90,0,5,,,,42,,,,
2020-01-30,全省,45,0,1,,,,89,,,,
2020-01-31,全省,60,0,1,,,,122,,,,
2020-02-01,全省,64,0,1,,,,116,,,,
2020-02-02,全省,70,0,1,,,,113,,,,
2020-02-03,全省,74,0,1,,,,120,,,,
2020-02-04,全省,81,0,2,,,,127,,,,
2020-02-05,全省,89,0,4,,,,143,,,,
2020-01-30,全省,15,0,1,,,,75,,,,
2020-01-31,全省,29,0,2,,,,67,,,,
2020-02-01,全省,38,0,2,,,,59,,,,
2020-02-02,全省,46,0,2,,,,41,,,,
2020-02-03,全省,56,0,2,,,,33,,,,
2020-02-04,全省,64,0,2,,,,33,,,,
2020-02-05,全省,69,1,9,,,,37,,,,
2020-01-30,全省,30,0,0,,,,15,,,,
2020-01-31,全省,35,0,0,,,,15,,,,
2020-02-01,全省,40,0,0,,,,20,,,,
2020-02-02,全省,51,0,3,,,,9,,,,
2020-02-03,全省,56,0,3,,,,9,,,,
2020-02-04,全省,57,0,4,,,,18,,,,
2020-02-05,全省,62,0,6,,,,16,,,,
2020-01-30,全省,14,0,1,,,,10,,,,
2020-01-31,全省,17,0,1,,,,10,,,,
2020-02-01,全省,23,0,1,,,,14,,,,
2020-02-02,全省,31,0,1,,,,17,,,,
2020-02-03,全省,42,0,1,,,,24,,,,
2020-02-04,全省,54,0,1,,,,58,,,,
2020-02-05,全省,59,0,2,,,,69,,,,
2020-01-30,全省,20,0,0,,,,1,,,,
2020-01-31,全省,23,0,1,,,,4,,,,
2020-02-01,全省,26,0,1,,,,7,,,,
2020-02-02,全省,33,0,1,,,,4,,,,
2020-02-03,全省,37,0,1,,,,2,,,,
2020-02-04,全省,42,0,1,,,,1,,,,
2020-02-05,全省,46,0,3,,,,5,,,,
2020-01-30,全省,21,0,0,,,,1,,,,
2020-01-31,全省,26,0,0,,,,1,,,,
2020-02-01,全省,28,0,0,,,,8,,,,
2020-02-02,全省,31,0,0,,,,12,,,,
2020-02-03,全省,34,0,1,,,,18,,,,
2020-02-04,全省,34,0,1,,,,24,,,,
2020-02-05,全省,40,0,1,,,,39,,,,
2020-01-30,全省,17,0,0,,,,28,,,,
2020-01-31,全省,18,0,0,,,,19,,,,
2020-02-01,全省,21,0,0,,,,21,,,,
2020-02-02,全省,24,0,0,,,,26,,,,
2020-02-03,全省,29,0,0,,,,33,,,,
2020-02-04,全省,32,0,0,,,,46,,,,
2020-02-05,全省,36,0,0,,,,47,,,,
2020-01-30,全省,8,0,0,,,,0,,,,
2020-01-31,全省,8,0,0,,,,1,,,,
2020-02-01,全省,9,0,0,,,,2,,,,
2020-02-02,全省,13,0,0,,,,0,,,,
2020-02-03,全省,15,0,0,,,,0,,,,
2020-02-04,全省,17,0,0,,,,0,,,,
2020-02-05,全省,18,0,3,,,,0,,,,
2020-01-30,全省,1,0,0,,,,0,,,,
2020-01-31,全省,1,0,0,,,,0,,,,
2020-02-01,全省,1,0,0,,,,0,,,,
2020-02-02,全省,1,0,0,,,,0,,,,
2020-02-03,全省,1,0,0,,,,0,,,,
2020-02-04,全省,1,0,0,,,,0,,,,
2020-02-05,全省,1,0,0,,,,0,,,,
